English,Dutch
hate,haten
hateful,hatelijk
hating,
hatred,haat
haughty,hoogmoedig
haul,vangst
haulage,goederenvervoer
haunt,spoken
haunted,
haven,veilige haven
havoc,verwoesting
haw,
hawk,havik
hawking,Hawking
hazard,risico
hazardous,gevaarlijk
haze,waas
hazy,wazig
head,hoofd
headache,hoofdpijn
headdress,hoofdtooi
header,hoofd
headgear,
heading,
headland,
headlight,
headline,
headlong,
headquarters,
headstone,
headway,
heady,koppig
heal,genezen
healing,genezing
health,gezondheid
healthful,
healthy,gezond
heap,hoop
hear,horen
hearer,
hearing,gehoor
hearsay,gerucht
hearse,lijkwagen
heart,hart
heartache,
heartburn,maagzuur
heartfelt,oprecht
hearth,haard
heartily,
heartless,
hearts,
heartworm,
heat,hitte
heated,
heater,verwarmer
heath,heide
heathen,heidens
heather,heide
heating,verwarming
heave,rijzen
heavenly,hemels
heavens,
heavily,hard
heaviness,zwaarte
heaving,
hectares,
hectic,hectische
hedge,haag
hedgehog,
hedonism,
heed,Ziet
heel,hiel
heels,
heft,
hegemonic,
heifer,vaars
height,hoogte
heighten,verhogen
heinous,
heir,erfgenaam
heiress,
heirloom,erfstuk
heirs,
helical,
helix,
hell,hel
hellish,hels
helm,roer
helmet,helm
helper,helper
helpful,behulpzaam
helpless,hulpeloos
helplessness,
hem,zoom
hematite,
hemi,
hemisphere,halfrond
hemispheric,
hemlock,scheerling
hemorrhage,
hemorrhoids,
hemp,hennep
hen,kip
henceforth,voortaan
herald,heraut
heraldry,heraldiek
herb,kruid
herbaceous,kruidachtig
herbal,kruiden
herbarium,
herd,kudde
hereditary,erfelijk
heredity,erfelijkheid
heresy,ketterij
heretic,ketter
heretical,
heretofore,eertijds
hereunto,
herewith,
heritage,
hermaphrodite,
hermeneutics,
hermit,kluizenaar
hernia,liesbreuk
hero,held
heroic,heldhaftig
heroics,
heroin,
heroine,heldin
heroism,heldenmoed
herpes,herpes
herpesvirus,
hesitating,
hesitation,aarzeling
heterogeneity,
hew,houwen
hexagon,
heyday,
hiatus,hiaat
hibernate,overwinteren
hibernation,winterslaap
hiccup,hik
hidden,verborgen
hide,verbergen
hideous,afschuwelijk
hiding,verbergen
hierarchical,
high,hoog
higher,
highest,
highland,
highlands,
hight,
highway,snelweg
hiker,
hilarious,hilarisch
hilarity,
hill,heuvel
hilly,
hilt,gevest
hind,hinde
hindering,
hindrance,hinder
hinge,scharnier
hint,wenk
hinterland,
hip,heup
hippie,hippie
hire,huren
hirsute,behaard
hiss,gesis
hissing,
histology,
historian,geschiedschrijver
historic,
historiography,
history,geschiedenis
hit,hit
hitherto,tot nu toe
hive,bijenkorf
hoard,
hoarse,hees
hoary,
hoax,hoax
hob,
hobby,hobby
hobo,landloper
hockey,hockey
hoe,schoffel
hog,hog
hoist,hijsen
hold,houden
holder,houder
holding,bezit
hole,gat
holiday,vakantie
holiness,heiligheid
hollow,hol
holocaust,brandoffer
holy,heilig
homage,eerbetoon
homeless,
homeopathic,
homeopathy,
homesick,heimwee
homestead,hoeve
homework,huiswerk
homicidal,
homicide,moordenaar
homily,zedenpreek
homogeneity,
homogeneous,
homologous,
homologue,
homology,
homosexual,
homosexuality,
hone,scherpen
honest,eerlijk
honesty,eerlijkheid
honey,honing
honeycomb,honingraat
honeymoon,huwelijksreis
honeysuckle,
honor,eer
honorable,
honorarium,honorarium
hood,kap
hooded,
hoof,hoef
hook,haak
hooked,haakte
hooker,hoer
hoop,hoepel
hoot,toeteren
hop,hop
hope,hoop
hopeful,
hopeless,hopeloos
hopelessness,
hopes,
hoping,
hopper,
horde,
horizon,horizon
horizontal,horizontaal
horizontally,
horn,hoorn
hornet,horzel
horny,geile
horoscope,
horrible,afschuwelijk
horribly,
horrid,afschuwelijk
horrific,gruwelijk
horrified,
horrifying,
horror,verschrikking
horrors,
horse,paard
horseman,ruiter
horseshoe,hoefijzer
horticultural,
horticulture,tuinbouw
hose,slang
hosiery,
hospice,
hospital,ziekenhuis
hospitality,gastvrijheid
hostage,gijzelaar
hostel,
hostile,vijandig
hostilities,
hostility,
hot,heet
hotbed,
hotel,hotel
hour,uur
hourglass,zandloper
hourly,ieder uur
house,huis
household,huishouden
householder,
housekeeper,huishoudster
housekeeping,huishouden
housewife,huisvrouw
housing,behuizing
hovercraft,
howl,gehuil
howsoever,
hoy,
hub,naaf
huddle,wirwar
hue,tint
huff,tieren
hug,omhelzing
huge,reusachtig
hulk,schuit
hull,romp
hum,brommen
human,menselijk
humane,humaan
humanitarian,
humanities,
humanity,menselijkheid
humble,nederig
humbled,
humbly,
humbug,humbug
humid,vochtig
humidity,vochtigheid
humiliate,vernederen
humiliating,
humiliation,
humility,nederigheid
hummer,hummer
hummingbird,kolibrie
humongous,
humorist,
humorous,humoristisch
hump,bult
hunch,ingeving
hundred,honderdtal
hundredth,
hunger,honger
hungry,hongerig
hunk,
hunks,
hunt,jacht
hunter,jager
hunting,jacht
hurl,smijten
hurrah,hoera
hurricane,orkaan
hurried,gehaast
hurry,haasten
hurt,kwetsen
hurtful,schadelijk
hurting,
husbandry,veeteelt
hush,stilte
hushed,
husk,schil
husky,hees
hustle,hustle
hustler,
hut,hut
hutch,
hyacinth,
hybrid,bastaard
hydra,
hydraulics,
hydrocephalus,
hydrodynamics,
hydrogen,waterstof
hydrographic,
hydrology,
hygiene,hygiëne
hygienic,
hymn,hymne
hype,
hyperbole,hyperbool
hypertrophy,
hyphen,koppelteken
hypnotic,
hypnotized,
hypocrisy,huichelarij
hypocrite,hypocriet
hypocritical,
hypothesis,hypothese
hypothetical,hypothetisch
hysteria,hysterie
hysterical,
ice,ijs
iceberg,
icon,
iconic,
iconography,
icy,
idea,idee
idealism,
idealist,
identical,identiek
identically,
identification,
identify,
identity,identiteit
ideology,ideologie
idiocy,
idiom,
idiomatic,
idiot,idioot
idiotic,idioot
idle,ijdel
idleness,
idler,
idol,
idolatry,
igloo,
igneous,
ignite,
ignition,ontsteking
ignorance,
ignorant,onwetend
ignore,
ilk,
ill,ziek
illegal,
illegality,
illegally,
illegible,
illegitimate,
illicit,
illiterate,
illness,
illogical,
illuminate,
illumination,
illuminator,
illusion,illusie
illustrate,
illustration,illustratie
illustrative,
illustrious,
image,image
imagery,
imaginary,denkbeeldig
imagination,
imaginative,fantasierijke
imagine,zich voorstellen
imagined,
imagining,
imam,
imbedded,
imitate,imiteren
imitated,
imitation,imitatie
immaculate,
immaterial,
immature,
immaturity,
immeasurable,
immeasurably,
immediacy,
immediately,onmiddellijk
immemorial,
immense,onmetelijk
immerse,
immersion,
immigrant,
immigration,
imminent,
immoral,
immorality,
immortal,
immortality,
immovable,
immune,
immunity,immuniteit
immunization,
immutable,
imp,
impact,botsing
impair,
impairment,verslechtering
impart,
impartial,
impartiality,
impassable,
impassioned,
impatience,
impatient,
impeach,
impeachment,
impeccable,
impede,belemmeren
impediment,belemmering
impelled,
impending,
impenetrable,
imperative,gebiedende wijs
imperceptible,
imperfection,
imperfectly,
imperial,
impermeable,
impermissible,
impersonal,
impersonate,
impersonation,
impervious,
impetus,
implacable,
implant,
implantation,
implanted,
implement,uitvoeren
implicate,
implicated,
implication,
implied,
implore,
implosion,
imply,
impolite,
import,import
importance,belang
important,belangrijk
importation,
impose,opleggen
imposing,indrukwekkend
imposition,oplegging
impossibility,
impossible,onmogelijk
impotence,
impotent,
impound,
impracticable,
impress,
impression,
impressionable,
imprint,
imprison,
imprisoned,
imprisonment,
improbable,
impromptu,
impropriety,
improve,verbeteren
improved,
improvement,
improving,
improvisation,
improvise,
improvised,
imprudent,
impulse,
impunity,
impure,
impurity,
imputation,
inability,
inaccessible,
inaccurate,onnauwkeurig
inaction,
inactivate,
inactivation,
inactive,
inactivity,
inadequacy,
inadequate,
inadmissible,
inadvertent,
inadvertently,onbedoeld
inalienable,
inane,
inanimate,
inapplicable,
inappropriate,
inattention,
inaudible,
inaugural,
inaugurate,
inauguration,
inborn,
inbred,
incalculable,
incandescent,
incapable,
incapacity,
incarceration,
incase,
incendiary,
incense,
incentive,
inception,
incessant,
incessantly,
incest,incest
incestuous,
inch,duim
incidence,
incident,incident
incidentally,
incineration,
incipient,
incision,
incisive,
incite,
incitement,
inclement,
inclination,
incline,
inclined,
include,omvatten
included,Inclusief
including,inclusief
inclusion,
inclusive,inclusief
incognito,
incoherent,
income,
incoming,
incompatible,
incompetence,
incompetent,
incompletely,
incompleteness,
incomprehensible,
inconclusive,
incongruous,
inconsequential,
inconsiderate,
inconsistency,
inconspicuous,
incontinence,
inconvenient,ongelegen
incorporate,
incorporation,inlijving
incorrect,
increase,toenemen
increased,
incredulous,ongelovig
increment,
incrimination,
incubation,
incubus,
incur,oplopen
incurable,ongeneeslijk
incursion,
indebted,
indecency,
indecent,
indecision,
indecisive,
indefensible,
indelible,
indemnification,
indemnify,
indemnity,
indent,
indentation,
indenture,
independence,
independent,onafhankelijk
indescribable,
indestructible,
indeterminate,
index,
indicating,aangeeft
indication,aanwijzing
indicative,indicatief
indicator,indicator
indice,
indict,
indictment,
indifference,
indigenous,
indigent,
indigestion,
indignant,
indignation,
indigo,indigo
indirect,
indispensable,
indistinct,
indistinguishable,
individuality,
indivisible,
indoctrination,
indolent,
indomitable,
indoor,binnen-
induce,
induced,
inducement,
induction,
indulge,
indulgence,
indulgent,
industrious,
industry,industrie
ineffable,
ineffective,
ineffectual,
inefficiency,
inefficient,
inelastic,
ineligible,
inept,
ineptitude,
inequality,
inequitable,
inert,
inertia,
inevitable,
inexact,
inexcusable,
inexhaustible,
inexpensive,
inexperience,
inexperienced,
inexplicable,
infallibility,
infallible,
infamous,
infamy,
infancy,
infant,
infanticide,
infantile,
infantry,
infarct,
infatuation,
infeasible,
infect,infecteren
infection,
infectious,
infer,
inference,
inferential,
inferior,
inferiority,
inferno,
infertile,
infertility,
infestation,
infidel,
infidelity,
infiltration,
infinite,
infinitely,
infinitesimal,
infinity,
infirm,
infirmary,
infirmity,
inflammation,
inflated,
inflation,
inflection,
inflict,
infliction,
inflorescence,
influence,invloed
influential,invloedrijk
influenza,
influx,
inform,informeren
informal,
informant,
information,informatie
informed,
informer,
infraction,
infrequent,
infrequently,
infringement,
infuse,
infused,
infusion,
ingenious,
ingenuity,
ingest,
ingestion,
ingot,
ingrained,
ingredient,
ingress,
inhabit,
inhabitant,
inhabited,
inhabiting,
inhalation,
inhale,
inherent,
inherit,
inheritance,
inhibit,
inhibition,
inhospitable,
inhuman,
inhumanity,
inimical,
inimitable,
iniquity,
initial,
initiate,
initiated,
initiative,
inject,
injection,
injunction,
injure,
injured,
injurious,
injury,letsel
injustice,
ink,inkt
inkling,
inland,
inlay,inleggen
inlet,
inmate,
inn,herberg
innate,
innermost,
innings,
innkeeper,
innocence,onschuld
innocent,
innocently,
innocuous,
innovate,
innovation,innovatie
innuendo,
innumerable,
inoculation,
inoperative,
inordinate,
inorganic,
inquest,
inquire,informeren
inquirer,
inquiring,navraag
inquiry,onderzoek
inquisitive,
insane,
insanity,
inscription,
inscrutable,
insect,insect
insecure,
insecurity,
inseparable,
insert,invoegen
inserted,
insertion,
inside,binnenzijde
insidious,
insight,
insignia,
insignificance,
insignificant,onbeduidend
insipid,
insist,
insolent,
insoluble,
insolvency,
insolvent,
inspect,
inspector,
inspiration,
inspire,
inspired,
instability,
install,installeren
installation,installatie
installment,
instance,
instant,oogwenk
instantaneous,
instantaneously,
instigate,
instigation,
instill,
instinct,
instinctive,
institute,instituut
institution,instelling
instruct,instrueren
instructed,
instruction,instructie
instructional,
instructions,
instructive,
instructor,instructeur
instrument,instrument
instrumental,
instrumentalist,
instrumentality,
insufficiency,
insufficient,ontoereikend
insufficiently,
insular,
insulate,
insulation,
insult,belediging
insulting,
insurance,verzekering
insure,verzekeren
insurgent,
insurmountable,
insurrection,
intact,
intangible,
integer,geheel getal
integral,
integrate,integreren
integration,
integrity,integriteit
intellect,
intellectual,
intelligence,
intelligent,
intelligibility,
intelligible,
intend,van plan zijn
intended,
intending,
intense,
intensely,
intensify,
intensity,
intent,
intention,intentie
intentional,
intentionally,
inter,inter
interaction,
intercede,
intercept,onderscheppen
interception,
intercession,
interchange,
interchangeable,
interchanged,Het verwisselen
intercom,
intercourse,
interdependence,
interdependent,
interdiction,
interest,rente
interested,geïnteresseerd
interesting,
interference,inmenging
interferometer,
interim,tussentijds
interior,
interlocutory,
interlude,
intermediary,tussenpersoon
intermediate,tussen-
interment,
interminable,
intermission,
intermittent,
intern,
internal,
internally,
international,internationaal
interpolate,
interpolation,interpolatie
interpret,
interpretation,
interpreter,
interrelated,
interrogate,ondervragen
interrogation,
interrupt,onderbreken
interrupted,
interruption,
intersect,
intersection,
interstitial,
interval,
intervening,tussenliggende
intervention,tussenkomst
interview,interview
interviewer,
interworking,
intestate,
intestinal,
intestine,
intestines,
intimacy,
intimate,
intimately,
intimation,
intimidate,
intimidation,
intolerable,
intolerance,
intolerant,
intonation,
intoxicated,
intoxication,
intractable,
intramural,
intrepid,
intricate,
intrigue,
intriguing,
intrinsic,
intrinsically,
introduction,introductie
introductory,
introspection,
introspective,
intruder,
intrusion,
intrusive,
intuition,
intuitive,
intuitively,
inundation,
invade,
invader,binnendringer
invalid,
invalidate,
invalidation,
invalidity,
invaluable,
invariably,
invasion,
invent,uitvinden
invention,uitvinding
inventive,
inventor,uitvinder
inventory,
inverse,omgekeerde
inversely,
inversion,inversie
invert,
inverted,
investigate,onderzoeken
investigation,onderzoek
investigator,
investor,
invigorate,
invincible,
invisibility,
invisible,
invitation,
invite,nodigen
inviting,
invocation,
invoice,factuur
invoke,
involuntary,
involution,
involvement,betrokkenheid
inwards,
iota,
irate,
ire,
iridescent,
iris,
iron,ijzer
ironic,
irons,
irony,
irradiation,
irrational,
irrationality,
irreconcilable,
irreducible,
irrefutable,
irregular,
irregularity,
irregularly,
irrelevant,irrelevant
irreparable,
irrepressible,
irresistible,
irrespective,
irresponsible,
irreverent,
irreversible,
irrevocable,
irrigate,
irrigation,irrigatie
irritability,
irritable,
irritating,
irritation,
island,eiland
isle,
islet,
isolate,
isolated,
isolation,
isomorphism,
isothermal,
issue,probleem
itch,
itching,
item,item
itemize,
items,items
iterate,
iteration,
iterative,
itinerant,
itinerary,reisroute
ivory,
jab,
jabber,
jack,krik
jackass,
jackpot,pot
jacks,jacks
jade,
jag,
jagged,
jaguar,
jail,gevangenis
jam,jam
jammed,
janitor,conciërge
japan,
jar,
jargon,
jarring,
jasper,
jaundice,
jaunt,
javelin,speer
jaw,kaak
jaws,
jay,
jealous,jaloers
jealousy,jaloezie
jeans,jeans
jeep,
jelly,gelei
jenny,
jeopardize,
jeopardy,gevaar
jerk,
jersey,trui
jest,
jester,
jet,
jetty,
jewel,juweel
jeweler,
jewelry,juwelen
jib,
jiffy,
jimmy,
jingle,
job,baan
jock,
jockey,
jog,
john,John
join,toetreden
joined,toegetreden
joining,aansluiting
joint,gezamenlijk
jointly,gezamenlijk
joke,grap
joker,
joking,
jolt,
jornada,
jot,jota
journal,
journalism,journalistiek
journalist,journalist
journey,reis
journeyman,
jovial,
joy,vreugde
joyful,
joyous,
jubilant,
jubilee,
judge,rechter
judging,beoordelen
judgment,oordeel
judicial,
judiciary,
judicious,
jug,
juggle,
juggling,
juice,sap
juicy,
jumble,
jumbled,
jumbo,
jump,springen
junction,
juncture,
jungle,
junior,
junk,
junta,
juridical,
jurisdiction,
jurisprudence,
jurist,
jury,
justice,gerechtigheid
justifiable,
justification,rechtvaardiging
justify,
jute,
juvenile,
juxtaposition,
kaiser,
kaleidoscope,
kangaroo,
kanji,
karma,
kayak,
keel,
keeper,bewaarder
keeping,bewaring
keepsake,aandenken
keg,
ken,
kennel,
kern,
kernel,
kerosene,
kettle,
key,sleutel
keyhole,
keynote,
keystone,
khaki,
khan,
kick,schop
kicking,schoppen
kid,kind
kidding,
kidnap,
kill,doden
killing,
kiln,oven
kilogram,
kilometer,
kilt,
kimono,
kin,
kind,soort
kindergarten,kleuterschool
kindness,
kindred,
kinematics,
king,koning
kingdom,koninkrijk
kink,
kinky,pervers
kiosk,
kirk,
kiss,kus
kit,uitrusting
kitchen,keuken
kite,
kitten,katje
knack,
knapsack,
knead,
knee,knie
kneel,knielen
kneeling,
knell,
knickers,
knife,mes
knight,
knit,
knob,
knock,klop
knoll,
knot,knoop
knotted,
knowing,
knowingly,
knowledge,kennis
knuckle,
kos,
kris,
kudos,
lab,
label,label
labor,arbeid
laboratory,
labored,
laborer,
laboring,
laborious,
labyrinth,
lac,
lace,kant
lack,gebrek
lacking,
lackluster,
lacquer,
lacrosse,
lad,knaap
ladder,ladder
laden,
lading,
ladle,
lady,lady
lag,vertraging
lagging,
lagoon,
lair,hol
laity,
lake,meer
lama,
lamb,
lament,
lamenting,
lamina,
laminated,gelamineerde
lamp,lamp
lance,
lancer,
land,land
landed,
landing,
landlocked,
landlord,huisbaas
landmark,mijlpaal
lands,
landscape,
landscaping,landscaping
landslide,
lane,
language,taal
languid,
languish,
languishing,
lanky,
lantern,
lap,
lapel,
lapse,verlopen
lapsed,verlopen
larceny,
lard,
larder,
large,large
larger,groter
largo,
lark,
larva,
larynx,
laser,laser
lash,
lass,
lasso,
lasting,
latch,
late,laat
lateness,
latent,
lateral,
laterally,
latex,
lathe,
lather,
latitude,
latrines,
lattice,
laudable,
laugh,lach
laughable,
laughing,
laughter,gelach
launch,
laundry,wasserij
laureate,
laurel,
laurels,
lava,lava
lavage,
lavatory,
lavender,lavendel
lavish,
law,wet
lawful,
lawlessness,
lawn,
lawsuit,rechtsgeding
lawyer,advocaat
lax,
laxative,
lay,leggen
layer,
layered,
layman,leek
lazy,lui
lea,lea
lead,leiden
leader,leider
leading,
leads,
leaf,blad
leaflet,
leafy,
league,
leak,lek
leakage,
leaky,lek
lean,mager
leaned,
leaning,
leap,
learn,leren
learned,
learner,
learning,geleerdheid
lease,
leash,
leather,leer
leathery,
leave,vertrekken
lecture,
lecturer,
ledge,
ledger,
lee,
leech,
leeches,
leer,
leery,
lees,
leeway,
left,links
leg,been
legacy,
legal,wettelijk
legality,
legalize,
legalized,
legally,
legend,legende
legendary,
legibility,
legible,
legion,
legislate,
legislation,
legislative,wetgevend
legislator,
legislature,
legitimacy,
legs,benen
legume,
leisure,vrije tijd
leisurely,
lemma,
lemon,citroen
lend,lenen
lender,
lending,
length,lengte
lengthen,verlengen
lengthened,
lengthening,
lengthwise,
lengthy,
leniency,
lenient,
lens,
leopard,
leprosy,
lesbian,
lesbianism,
lessee,
lessen,verminderen
lessening,
lesser,
lesson,les
lessor,
lethal,dodelijk
lethargic,
lethargy,
letter,letter
lettered,
letters,
lettuce,sla
leukemia,
levee,
level,niveau
lever,
leverage,
levy,heffing
lewd,
lexicon,
ley,
liabilities,
liability,
liaison,
liar,leugenaar
libel,smaad
libelous,
liberal,
liberalism,
liberate,
liberation,
liberty,vrijheid
libido,
librarian,bibliothecaris
library,bibliotheek
libretto,
license,
lichen,
lick,
lid,deksel
lie,leugen
liege,
lien,
lieu,
lieutenant,
life,leven
lifeblood,
lifeboat,
lifeless,
lifelike,
lifelong,
lifetime,
lift,lift
ligament,
ligation,
light,licht
lighten,verlichten
lighthouse,
lightness,
lightning,
likelihood,
likeness,
likewise,evenzo
liking,
lilac,
lily,
limb,lidmaat
limbo,
limit,limiet
limitation,
limited,
limitless,
limousine,limousine
limp,
lin,lin
line,lijn
lineage,
lineal,
linear,
lined,
linen,
liner,
lines,lijnen
linger,
lingo,lingo
lingual,
linguist,
linguistic,taalkundig
linguistics,
lining,
link,link
linoleum,
lint,
lion,leeuw
lip,lip
lipstick,lippenstift
liquefaction,
liquefied,
liqueur,
liquid,vloeistof
liquidate,
liquidation,
liquidator,
liquidity,
liquor,drank
lisp,
list,lijst
listen,luisteren
listener,
listing,
listless,
litany,
literally,
literary,literair
literature,literatuur
lithe,
lithograph,
lithography,
lithology,
lithosphere,
litigant,
litigate,
litigation,
litigious,
litter,
littoral,
liturgy,
livelihood,levensonderhoud
livery,livrei
livid,
living,levend
llama,
load,belasting
loaf,brood
loafer,
loam,
loan,lening
loath,
loathe,
loathing,
loathsome,
lobby,
lobbyist,
lobe,
local,lokaal
locale,
locality,
localization,
localize,
locate,
location,plaats
loch,
lock,slot
locker,kastje
locksmith,
lockup,
locomotion,
locomotive,locomotief
locust,sprinkhaan
lodge,loge
lodger,
lodging,logies
loft,zolder
lofty,
log,logboek
logarithm,
logarithmic,
logic,
logical,
logistics,
logotype,
loin,lende
lollipop,
lone,
loneliness,
lonely,eenzaam
lonesome,
long,lang
longevity,
longing,
longitude,
longitudinal,
longitudinally,
loo,
lookout,
loom,
looming,
loon,
loony,
loop,
loophole,
loosen,losmaken
loosening,
loot,
lop,
lopsided,scheve
lord,heer
lords,
lordship,
lore,
lorry,
lose,verliezen
losing,verliezen
loss,verlies
lost,verloren
lot,hoop
lotion,
lots,
lottery,
lotto,
loud,luid
loudly,
loudness,
lounge,
louse,
lovable,
love,liefde
lovely,heerlijk
lovemaking,
lover,
loving,
lower,lager
lowering,
lowest,
lowlands,
lowly,
loyal,loyaal
loyalty,loyaliteit
lubricate,
lubrication,
luck,geluk
lucky,gelukkig
ludicrous,
lug,
luggage,
lull,
lullaby,
lumbar,lumbaal
lumber,
lumbering,
luminescent,
luminous,
lump,brok
lumpy,
lunacy,
lunar,
lunatic,
lunch,lunch
luncheon,
lunge,
lungs,
lurch,
lure,
lurid,
lurk,
lurking,
luscious,
lush,
lust,
luster,
lustful,
lustrous,
lusty,
lute,
luxuriant,
luxurious,
luxury,
lying,
lymph,
lymphatic,
lynch,
lynx,
lyre,
lyric,
lyrical,
mace,
machine,machine
machinery,machinerie
machinist,
mackerel,
mad,gek
madam,
madame,
madden,gek maken
madman,
madness,
mafia,
magazine,tijdschrift
mage,tovenaar
magenta,
maggot,
magic,magie
magical,
magician,
magistrate,magistraat
magma,
magnate,
magnet,magneet
magnetism,
magnetite,
magnificence,
magnificent,prachtig
magnifier,
magnify,
magnitude,
magpie,
maid,meid
maiden,
mail,mail
main,hoofd-
mainland,
mainstay,
maintenance,onderhoud
majestic,
majesty,
major,groot
majority,meerderheid
make,maken
maker,
makeshift,
makeup,make-up
malady,
malaise,
malaria,
male,mannelijk
malevolent,
malfeasance,
malformation,
malice,
malicious,
malign,
malignancy,
malignant,
mall,winkelcentrum
malleable,
mallet,
malpractice,
mamma,
mammal,
mammoth,
man,man
manage,beheren
management,beheer
manager,manager
mandamus,
mandarin,
mandate,mandaat
mandible,
mandolin,
mandrel,
mane,
maneuver,
maneuvering,
mange,
manger,
mangle,
mango,mango
mangosteen,
manhood,
mania,
maniac,
maniacal,
manicure,
manifest,
manifestation,
manifested,
manifestly,
manifesto,
manifold,
manipulate,
manipulation,
mankind,mensheid
manly,
manna,
manner,manier
mannered,
manners,
manor,landhuis
mansion,
manslaughter,
mantle,mantel
manual,
manufacture,fabricage
manufacturer,fabrikant
manure,
manuscript,
map,kaart
mar,ontsieren
marble,marmer
marbled,
marbles,knikkers
march,mars
mare,
margin,
marginal,
marijuana,marihuana
marine,
mariner,
maritime,
mark,mark
marked,
market,markt
marketable,
marketplace,markt
marks,
marl,
marmalade,
maroon,kastanjebruin
marquee,
marquis,
marriage,huwelijk
married,
marrow,
marry,trouwen
marsh,
marshal,
mart,
martial,krijgshaftig
martingale,
martyr,
martyrdom,
marvel,
marvelous,
marvelously,
masculine,
masculinity,
mash,
mask,
masochism,
mason,
masquerade,
mass,massa
massacre,
massage,
massive,
master,meester
mastermind,
masterpiece,
mastery,
masturbate,masturberen
masturbation,
mat,mat
match,wedstrijd
matching,matching
matchmaker,
mate,stuurman
material,materiaal
materialism,
materialist,
materialistic,
materiality,
materialize,
materially,
materials,
materiel,
maternal,
maternity,moederschap
mathematical,
mathematician,
mathematics,wiskunde
matriculation,
matrimony,
matrix,
matron,
matted,
matter,materie
matting,
mattress,matras
maturation,
maturity,rijpheid
mausoleum,
mauve,
maxim,
maximum,
mayor,
maze,doolhof
mead,
meadow,
meal,maaltijd
meander,
meandering,
meaning,betekenis
meaningless,
means,
meantime,inmiddels
measles,
measurable,
measure,meten
measured,afgemeten
measurement,maat
measuring,
meat,vlees
mechanic,monteur
mechanical,
mechanism,mechanisme
medal,medaille
medallion,
medallist,
meddle,
meddling,
media,media
medial,
median,
mediate,
mediation,
mediator,
medical,medisch
medicinal,
medicine,geneeskunde
medieval,
mediocre,middelmatig
mediocrity,
meditate,
meditation,
meditative,
mediterranean,
medium,medium
medley,
meek,
meet,ontmoeten
meeting,vergadering
melancholic,
melancholy,
melee,
melodious,
melodrama,
melodramatic,
melody,melodie
melt,smelten
meltdown,
melting,
member,lid
membrane,
memento,
memo,memo
memoir,
memorabilia,
memorable,
memorandum,
memorial,
memorials,
memorize,memoriseren
memory,geheugen
menace,bedreiging
menacing,
menagerie,
mend,repareren
mending,
menial,
meniscus,
menses,
menstrual,
mental,geestelijk
mention,noemen
mentor,
menu,menu
meow,
mercantile,
mercenary,
merchandise,
merchant,koopman
merciful,
merciless,
mercurial,
mercy,genade
mere,louter
merge,
meridian,
meridional,
merit,
meritorious,
mermaid,
merriment,
merry,vrolijk
mesa,
mesh,maas
meshes,
mesmerized,
mess,knoeien
message,bericht
messenger,boodschapper
messy,
metabolism,metabolisme
metal,metaal
metallurgy,
metamorphosis,
metaphor,
metaphorical,
metaphysical,
metaphysics,
metastasis,
meteor,
meteoric,
meteorite,
meteorological,
meteorology,
meter,meter
methanol,
method,methode
methodical,
meticulous,
metric,metrisch
metrical,
metrology,
metropolis,
metropolitan,
mettle,moed
mew,
mica,
mick,
microbe,
microbiology,
microcosm,
microgram,
micrometer,
micron,micron
microphone,microfoon
microscope,
microscopic,
microscopically,
microscopy,
mid,midden
midday,
middle,midden
middleman,
midland,
midnight,middernacht
midst,
midsummer,
midway,
midwife,
midwifery,
mien,
mighty,
migrate,
migration,
migratory,
mike,
mildew,
mile,mijl
mileage,
milestone,
militant,strijdbaar
military,
militia,
milk,melk
milky,
mill,molen
millennium,
milligram,
millimeter,millimeter
million,miljoen
millionaire,
mime,
mimic,
mimicking,
mimicry,
mind,geest
minded,
mindful,
mindfulness,
mine,de mijne
miner,
mineral,mineraal
mineralogy,
mingle,
mingled,
miniature,
minibus,
minim,
minimize,
minimum,
minister,minister
ministerial,
ministry,ministerie
minivan,
minnow,
minor,
minority,
minstrel,
mint,munt
minuscule,
minute,minuut
minutiae,
mir,
miracle,
miraculous,
mirage,
mire,
mirror,spiegel
mirth,vrolijkheid
misappropriation,
misbehavior,
miscarriage,
miscellaneous,
miscellany,
mischief,
mischievous,
misconception,
misconduct,
misdemeanor,
miserable,ellendig
miserably,
misery,ellende
misfortune,
misguided,
mishap,
misinformed,
misinterpretation,
mislead,
misleading,
mismanagement,
mismatch,
mismatched,
misnomer,
misplace,
misplaced,
misrepresent,
misrepresentation,
misrepresented,
miss,missen
missile,
missing,
mission,missie
missionary,
misstatement,
mist,mist
mistake,vergissing
mistaken,verkeerd
mister,
mistress,
mistrust,
misty,
misunderstand,
misunderstanding,
misuse,
mite,
miter,
mitigation,
mix,mengen
mixed,gemengd
mixture,mengsel
moan,
moat,
mob,
mobile,mobiel
mobility,
mobilization,
mobilize,
mockery,
mocking,
modal,
modality,
mode,mode
model,model
modeler,
moderate,gematigde
moderately,
moderating,
moderation,matiging
moderator,
modern,modern
modernism,
modest,bescheiden
modesty,bescheidenheid
modicum,
modifiable,
modification,wijziging
modified,
modify,wijzigen
modulate,
modulation,
module,
modulus,
mogul,
moiety,
moist,vochtig
moisture,
molar,
molasses,
mold,
molded,
molding,
moldy,beschimmeld
molecular,
molecule,
molestation,
molten,
moment,moment
momentary,kortstondig
momentous,
momentum,stuwkracht
monad,
monarch,
monarchy,
monastery,
monastic,
monetary,
money,geld
